timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574213310543,3499,Bot Service: Conversation Update,,,Bot Thread Group 1-20,text,true,,593,0,50,50,null,0,0,0
1574213310229,3817,Bot Service: Conversation Update,,,Bot Thread Group 1-4,text,true,,594,0,50,50,null,0,0,0
1574213310693,3388,Bot Service: Conversation Update,,,Bot Thread Group 1-29,text,true,,592,0,50,50,null,0,0,0
1574213311073,3009,Bot Service: Conversation Update,,,Bot Thread Group 1-48,text,true,,595,0,50,50,null,0,0,0
1574213310634,3451,Bot Service: Conversation Update,,,Bot Thread Group 1-26,text,true,,593,0,50,50,null,0,0,0
1574213310579,3501,Bot Service: Conversation Update,,,Bot Thread Group 1-23,text,true,,595,0,50,50,null,0,0,0
1574213310206,3880,Bot Service: Conversation Update,,,Bot Thread Group 1-1,text,true,,595,0,50,50,null,0,0,0
1574213310551,3539,Bot Service: Conversation Update,,,Bot Thread Group 1-22,text,true,,594,0,50,50,null,0,0,0
1574213310871,3217,Bot Service: Conversation Update,,,Bot Thread Group 1-38,text,true,,592,0,50,50,null,0,0,0
1574213310911,3179,Bot Service: Conversation Update,,,Bot Thread Group 1-40,text,true,,595,0,50,50,null,0,0,0
1574213310831,3256,Bot Service: Conversation Update,,,Bot Thread Group 1-36,text,true,,595,0,50,50,null,0,0,0
1574213310542,3549,Bot Service: Conversation Update,,,Bot Thread Group 1-21,text,true,,593,0,50,50,null,0,0,0
1574213310452,3649,Bot Service: Conversation Update,,,Bot Thread Group 1-17,text,true,,593,0,50,50,null,0,0,0
1574213310207,3898,Bot Service: Conversation Update,,,Bot Thread Group 1-2,text,true,,592,0,50,50,null,0,0,0
1574213310855,3257,Bot Service: Conversation Update,,,Bot Thread Group 1-37,text,true,,593,0,50,50,null,0,0,0
1574213310399,3714,Bot Service: Conversation Update,,,Bot Thread Group 1-14,text,true,,594,0,50,50,null,0,0,0
1574213310675,3440,Bot Service: Conversation Update,,,Bot Thread Group 1-28,text,true,,593,0,50,50,null,0,0,0
1574213310891,3228,Bot Service: Conversation Update,,,Bot Thread Group 1-39,text,true,,595,0,50,50,null,0,0,0
1574213310307,3818,Bot Service: Conversation Update,,,Bot Thread Group 1-8,text,true,,595,0,50,50,null,0,0,0
1574213310269,3862,Bot Service: Conversation Update,,,Bot Thread Group 1-6,text,true,,594,0,50,50,null,0,0,0
1574213310812,3410,Bot Service: Conversation Update,,,Bot Thread Group 1-35,text,true,,595,0,50,50,null,0,0,0
1574213311051,3197,Bot Service: Conversation Update,,,Bot Thread Group 1-47,text,true,,593,0,50,50,null,0,0,0
1574213310349,3916,Bot Service: Conversation Update,,,Bot Thread Group 1-11,text,true,,595,0,50,50,null,0,0,0
1574213310771,3514,Bot Service: Conversation Update,,,Bot Thread Group 1-33,text,true,,593,0,50,50,null,0,0,0
1574213310328,3965,Bot Service: Conversation Update,,,Bot Thread Group 1-9,text,true,,593,0,50,50,null,0,0,0
1574213310931,3495,Bot Service: Conversation Update,,,Bot Thread Group 1-41,text,true,,593,0,50,50,null,0,0,0
1574213310387,4100,Bot Service: Conversation Update,,,Bot Thread Group 1-13,text,true,,593,0,50,50,null,0,0,0
1574213311092,3499,Bot Service: Conversation Update,,,Bot Thread Group 1-49,text,true,,594,0,50,50,null,0,0,0
1574213310491,4112,Bot Service: Conversation Update,,,Bot Thread Group 1-19,text,true,,595,0,50,50,null,0,0,0
1574213310998,3609,Bot Service: Conversation Update,,,Bot Thread Group 1-44,text,true,,594,0,50,50,null,0,0,0
1574213311138,3508,Bot Service: Conversation Update,,,Bot Thread Group 1-50,text,true,,594,0,50,50,null,0,0,0
1574213310436,4256,Bot Service: Conversation Update,,,Bot Thread Group 1-16,text,true,,593,0,50,50,null,0,0,0
